"Mturk_id","Condition","decay_value","SyncRate_Value"
"A20X6V1AAXZGNZ","2-Sided-LR",1.29,0.7
"A212P51360T72C","1-Sided-ER_FI",1.82,0.68
"A2148LZC82UBIX","1-Sided-CogSig",1.33,0.8
"A217M5CHYXKABY","NS-ER",2.67,0.7
"A21FSF2MCK11IR","1-Sided-DT_FI",0.17,0.8
"A21OS9KG7JNHR7","2-Sided-pesse_FI",0.18,0.88
"A21UA6O7ZFAIQJ","1-Sided-CogSig",1.23,0.82
"A21UA6O7ZFAIQJ","2-Sided-LR",2.99,0.82
"A21Y7K669KM1PR","1-Sided-DT_FI",2.51,0.7
"A22051NK9RQ4FV","1-Sided-psse",0.47,0.8
"A222XREQ12K58P","1-Sided-psse",1.19,0.66
"A226D7W72V443V","NS-ER",1.56,0.8
"A22955PPOJ264W","2-SidedDT",2.89,0.78
"A22ABLVEI5EGPL","1-Sided-psse_FI",0.28,0.86
"A22E831P684LJZ","1-Sided-CogSig",2.76,0.48
"A22KVS49G12V8I","1-Sided-DT_FI",2.78,0.68
"A23437BMZ5T1FH","1-Sided-psse",2.49,0.74
"A23437BMZ5T1FH","2-SidedDT",0.34,0.92
"A23437BMZ5T1FH","NS-ER",0.84,0.74
"A235DXY5FJN0IW","2-Sided-LR",0.39,0.7
"A23BMD8M0RLV77","1-Sided-CogSig",2.45,0.88
"A23ERMITYZAHPG","1-Sided-DT_FI",2.3,0.62
"A23KAJRDVCVGOE","1-Sided-CogSig",1.31,0.76
"A23MOF1WG1Z6KB","2-Sided-NN",0.16,0.82
"A23OS0HQ12VVOR","2-Sided-NN",0.32,0.8
"A240OTT1T85UGT","1-Sided-ER_FI",2.97,0.66
"A245KPRERHWJSB","NS",0.1,0.76
"A248LF7KKHXZ14","1-Sided-DT_FI",2.58,0.86
"A248LF7KKHXZ14","1-Sided-psse",2.16,0.7
"A24B5UF6RMHYGX","NS-ER",0.8,0.72
"A24DSECWUBZC0Z","1-Sided-psse_FI",1.82,0.7
"A24GPHD08ZS5LT","1-Sided-psse_FI",2.97,0.58
"A24RGLS3BRZ60J","1-Sided-CogSig",2.73,0.82
"A250HYHFGXESAC","1-Sided-CogSig",2.98,0.78
"A2531UD0IGT731","2-Sided-pesse_FI",2.2,0.68
"A2541C8MY0BYV3","2-Sided-pesse_FI",1.37,0.76
"A2541C8MY0BYV3","NS-ER",2.51,0.78
"A256FHXGSY0E5D","2-Sided-pesse_FI",0.3,0.84
"A2581F7TDPAMBQ","NS",1.4,0.94
"A258MR1IS96JEP","1-Sided-DT_FI",2.35,0.76
"A258MR1IS96JEP","1-Sided-psse",2.89,0.6
"A258MR1IS96JEP","2-SidedDT",0.27,0.84
"A259BAVW85T0NT","1-Sided-DT_FI",0.11,0.82
"A25CFVQND4A0EV","2-Sided-pesse_FI",0.28,0.94
"A25CZJEFKXF4UV","2-Sided-NN",0.45,0.8
"A25KKISLF6V7LO","1-Sided-ER_FI",1.92,0.86
"A25PFSORDO3SWQ","2-Sided-NN",0.14,0.8
"A25YC7JOUN4VYA","2-Sided-NN",1.67,0.86
"A26M997VYVK0E6","2-SidedDT",0.94,0.72
"A26M997VYVK0E6","NS",1,0.86
"A26M997VYVK0E6","NS-ER",2.6,0.8
"A26NGLGGFTATVN","2-Sided-NN",2.47,0.76
"A26RO8GGTQAXGG","2-Sided-NN",2.09,0.6
"A26TY8FHMJ183C","2-Sided-NN",0.22,0.76
"A26TY8FHMJ183C","NS-ER",2.83,0.68
"A26UIS59SY4NM6","1-Sided-DT_FI",2.19,0.66
"A271V19C06841K","1-Sided-DT_FI",1.19,0.84
"A272X64FOZFYLB","2-Sided-pesse_FI",2.25,0.78
"A273EH17NSJRH0","2-SidedDT",2.75,0.64
"A273EH17NSJRH0","NS",0.14,0.68
"A2798F0ZHDDZ78","1-Sided-ER_FI",0.7,0.82
"A27HVVLSZZ13XK","2-Sided-LR",0.35,0.88
"A27IK5T18HQIKE","1-Sided-CogSig",2.94,0.74
"A27MJOV91GA8R3","1-Sided-psse_FI",2.95,0.56
"A27MJOV91GA8R3","2-SidedDT",0.6,0.6
"A27MJOV91GA8R3","NS-ER",1.67,0.78
"A27NBGO9FXJS8Q","1-Sided-ER_FI",1.18,0.88
"A27O2IILV3S5YS","1-Sided-CogSig",1.29,0.66
"A27PVIL93ZMY46","NS",0.51,0.86
"A27QBYDLN5V11F","NS",0.24,0.76
"A27SMEOPKV84VI","1-Sided-CogSig",1.4,0.74
"A27SMEOPKV84VI","NS-ER",1.03,0.82
"A27W025UEXS1G0","1-Sided-DT_FI",0.39,0.74
"A27ZE20JZ3VDUP","1-Sided-ER_FI",2.94,0.7
"A27ZE20JZ3VDUP","1-Sided-psse",1.58,0.78
"A2871R3LEPWMMK","1-Sided-DT_FI",0.36,0.76
"A28FMRMS9TMEOZ","1-Sided-ER_FI",1.04,0.8
"A28FMRMS9TMEOZ","1-Sided-psse",2.8,0.8
"A28HB7240OFGEW","2-Sided-NN",0.26,0.7
"A28SYXQL3YOKVL","1-Sided-CogSig",2.85,0.62
"A28SYXQL3YOKVL","2-SidedDT",1.08,0.74
"A28SYXQL3YOKVL","NS",0.15,0.78
"A28T38MOUG43YD","1-Sided-ER_FI",0.92,0.94
"A28T38MOUG43YD","1-Sided-psse",2.23,0.68
"A28ZPY6D5AS7GZ","1-Sided-DT_FI",0.11,0.64
"A2A1FS0KVLJ9ZT","1-Sided-ER_FI",1.91,0.68
"A2A6FH0F7LD9ND","1-Sided-CogSig",2.94,0.74
"A2A6FH0F7LD9ND","NS",0.49,0.9
"A2AAFWAAS9C1QC","2-Sided-NN",1.35,0.82
"A2AEY7AGQYBN6X","2-Sided-NN",2.21,0.56
"A2AG45K4ULNBHF","1-Sided-ER_FI",0.71,0.82
"A2AK649KPZ2IZN","1-Sided-psse",2.16,0.8
"A2B6WQG0A9CKXQ","1-Sided-ER_FI",1.55,0.76
"A2BK45LZGGWPLX","NS-ER",0.81,0.88
"A2BW6WD7LZ9EGV","1-Sided-DT_FI",1.69,0.92
"A2BZY06YRWGEDL","1-Sided-psse",2.4,0.68
"A2BZY06YRWGEDL","2-Sided-pesse_FI",1.42,0.7
"A2C4Z939OAKJJP","1-Sided-DT_FI",0.28,0.84
"A2C73Y1COWCA51","2-SidedDT",1.49,0.78
"A2C7A6E70NYNUI","2-Sided-pesse_FI",0.43,0.62
"A2C7TMRC2QHTIW","1-Sided-DT_FI",0.67,0.76
"A2C7TMRC2QHTIW","2-Sided-NN",1.15,0.52
"A2C7TMRC2QHTIW","2-SidedDT",1.83,0.56
"A2C84POENS2UNY","1-Sided-psse",2.03,0.62
"A2C84POENS2UNY","2-Sided-LR",2.91,0.72
"A2C84POENS2UNY","2-Sided-NN",0.8,0.8
"A2C84QVRK3KG57","1-Sided-CogSig",1.71,0.78
"A2C9N7WI4099RT","1-Sided-DT_FI",2.77,0.82
"A2CCK1JKX48R0H","NS-ER",2.9,0.74
"A2CF2BD4Q0ZDJN","2-SidedDT",1.03,0.82
"A2CF2BD4Q0ZDJN","NS-ER",3,0.68
